pop_num,referenced_dataset,obj0,ananlytics_ob0,local_id
0,common_dataset,-0.11594,[-0.11614001448687299],fb39e1cc-53fb-4a21-9314-5b9d680eec69
0,common_dataset,-0.171453,[-0.1716625333445275],34150ebf-0c72-46c2-a792-21c52a38c15e
0,common_dataset,-0.122726,[-0.12297607284933786],507d0e46-2424-44be-aeee-4d7c73e9d9ae
0,common_dataset,-0.117482,[-0.1177321465878456],ecedd5d6-4f42-4194-9454-28c22306575e
0,common_dataset,-0.115126,[-0.11531611241903848],188ffe5e-b3d1-4029-b336-404699bcbac5
0,common_dataset,-0.117509,[-0.11773873943874852],d4df2242-9fe5-473e-9111-b18da46f8896
0,common_dataset,-0.165944,[-0.1662537483580042],6a8cb89d-7d1c-4030-901f-233952e51edd
0,common_dataset,-0.118001,[-0.11825078721916597],6fe305dd-b9d1-411d-9d6c-f07ec525fdc4
0,common_dataset,-0.153613,[-0.1538833610945601],476bb545-3501-4829-b688-8882c43c36db
0,common_dataset,-0.154429,[-0.15475940926706613],ec7bac3b-e043-4038-8b0c-35c2de6b5eec
0,common_dataset,-0.13393,[-0.13416982362039404],e4f09592-4153-43ce-a37b-602c416bf059
0,common_dataset,-0.118946,[-0.11917599813383496],ea1c31a7-21db-4099-ab1b-48aae5148528
0,common_dataset,-0.12008,[-0.12032968254024604],8a244e74-40a9-421d-8d51-6cc7fa5f8339
0,common_dataset,-0.160775,[-0.16105505932461403],5a4d8514-54de-41b1-a521-145f134d3f2b
0,common_dataset,-0.126347,[-0.1265367410539005],6569a5b6-8cbf-4750-bfb2-ec8be8475cdb
0,common_dataset,-0.142088,[-0.14235842815522348],d1f723ef-1d60-407b-9f5d-8cdda92ded76
0,common_dataset,-0.143621,[-0.14389075981457625],2f27c789-4d20-4ca0-9142-fdd97df0b85a
0,common_dataset,-0.131032,[-0.1312020631251036],d9be6a38-dfe3-42fe-87c7-cb8e02de0ac9
0,common_dataset,-0.110565,[-0.11071530952794371],5d4551e3-e8fc-4fc0-8a10-c2f764db2004
0,common_dataset,-0.143617,[-0.1439368921986225],cd71731c-ebad-4c40-b66c-3d6be751f12f
0,common_dataset,-0.158893,[-0.1590227819996997],53d8be4d-95df-452f-8f47-182ff588a601
0,common_dataset,-0.139916,[-0.14004600794819294],a8b64f8f-d055-4093-a084-c122ad218e98
0,common_dataset,-0.105713,[-0.10602279658142125],25dc3f36-17d9-4ebe-a793-b80b46b4b341
0,common_dataset,-0.142027,[-0.1423574713903176],8b232c1b-b2a6-4e39-8c41-96df4bb3436c
0,common_dataset,-0.144827,[-0.1449773633713528],e416cf5d-e73a-48e6-808d-636e634d852a
0,common_dataset,-0.123539,[-0.12371868389663696],ae48b1db-8f58-4b18-beb4-173838f5a90e
0,common_dataset,-0.111239,[-0.11147880921734866],6475c9d0-cb52-4439-ba68-223651275cd9
0,common_dataset,-0.112711,[-0.11284072283982931],5167ca37-75bd-4691-86f4-9af209379257
0,common_dataset,-0.113082,[-0.11329203359044958],77cef313-81ca-4570-88c2-1665af986a0e
0,common_dataset,-0.111956,[-0.11220556405684932],3e38176a-4fbb-4162-8fb5-ca13129cb689
0,common_dataset,-0.108773,[-0.10892284652660351],16f2efd5-2a0d-4d6b-bbbc-2b1d76118dae
0,common_dataset,-0.115274,[-0.11548350208249404],08767b2f-03bf-4c2e-a3e0-0d10b05c9237
0,common_dataset,-0.115652,[-0.11590178007527283],2b3e81c8-9c4c-4a60-b5c1-0cb258af6333
0,common_dataset,-0.117608,[-0.11778786644392376],8f4ed349-6a9c-419c-97a2-894995cfc07f
0,common_dataset,-0.127803,[-0.12798319765431873],3526546e-a392-4732-971c-e556c019720d
0,common_dataset,-0.119803,[-0.11993281989472548],b89bf9a5-769f-46f7-be71-9e9368f09c7c
0,common_dataset,-0.112355,[-0.11246505117364321],deb8b1d2-2b89-4fc5-bdca-776ec31a5b9e
0,common_dataset,-0.123933,[-0.12403308535128553],273d9c8a-c64f-4185-8933-d7f0373365af
0,common_dataset,-0.111558,[-0.11178798131178744],894f2d69-1fa1-4c48-aada-8505c5091244
0,common_dataset,-0.135894,[-0.13600433480214574],358ed66e-f504-420e-a151-1747ea3ee8df
0,common_dataset,-0.115022,[-0.11535162147127064],6ed4ee68-2077-4383-9294-d3912e372c6e
0,common_dataset,-0.112429,[-0.1126692463891365],b3487728-69b1-4132-8921-04e8e8533c79
0,common_dataset,-0.135971,[-0.1361410247739236],bafb6576-7ceb-4705-9587-f937edb751dd
0,common_dataset,-0.111445,[-0.11156478779858613],69b5d267-87e9-4100-a985-d2c3f16c4af2
0,common_dataset,-0.109241,[-0.10947111619457663],22a3d286-0972-436a-af88-e9e455b5e064
0,common_dataset,-0.134006,[-0.1342261242756373],cf4a1f3d-d96c-42cd-a905-a4ab33cda6bd
0,common_dataset,-0.146338,[-0.14660828686809393],3a72956c-a873-4591-bbe1-e02c71ec5b20
0,common_dataset,-0.13245,[-0.13280010049491595],8d4e9cb5-5bb4-407d-9575-868d7f05a9ad
0,common_dataset,-0.128889,[-0.12908883788340944],7dd57f1d-4aed-46a4-9c82-965e11583d2c
0,common_dataset,-0.13642,[-0.13658034644197584],f0e69f53-ef4b-4850-b874-721aeb0bd1fa
0,common_dataset,-0.114962,[-0.11531154752867738],150fbe63-51e7-46dd-8358-286f7ae5ae98
0,common_dataset,-0.134729,[-0.13492911509411093],1ab1d56e-ddec-4da6-ae6b-3d623669ff46
0,common_dataset,-0.116704,[-0.11692365357739039],eac7590c-31de-4d9e-ba4a-1b47885ad3ab
0,common_dataset,-0.118216,[-0.11837608849049819],2856d9f1-ce94-448e-b2cf-0409fb5e95cd
